이름,URL,디데이,마감일,참고 양식
요구사항 정의서(초안),,D-4,2025년 12월 26일,%EC%96%91%EC%8B%9D_%EC%B0%B8%EA%B3%A0%EC%9A%A9_0.%EA%B8%B0%ED%9A%8D_%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD_%EC%A0%95%EC%9D%98%EC%84%9C(%EC%B4%88%EC%95%88)_%ED%8C%80%EB%AA%85.xlsx.xlsx
WBS,,D-4,2025년 12월 26일,%EC%96%91%EC%8B%9D_%EC%B0%B8%EA%B3%A0%EC%9A%A9_0.%EA%B8%B0%ED%9A%8D_WBS__%ED%8C%80%EB%AA%85.xlsx.xlsx
프로젝트 기획서,,D-4,2025년 12월 26일,%EC%96%91%EC%8B%9D_%EC%B0%B8%EA%B3%A0%EC%9A%A9_0.%EA%B8%B0%ED%9A%8D_%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8_%EA%B8%B0%ED%9A%8D%EC%84%9C_%ED%8C%80%EB%AA%85.docx.docx
수집 데이터,,D-4,2025년 12월 26일,%EC%96%91%EC%8B%9D_1._%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%88%98%EC%A7%91_%EB%B0%8F_%EC%A0%80%EC%9E%A5_%EC%88%98%EC%A7%91_%EB%8D%B0%EC%9D%B4%ED%84%B0_%ED%8C%80%EB%AA%85.docx.docx
데이터베이스 설계 문서,,D-7,2025년 12월 29일,%EC%96%91%EC%8B%9D_1.%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%88%98%EC%A7%91_%EB%B0%8F_%EC%A0%80%EC%9E%A5_%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4_%EC%84%A4%EA%B3%84%EB%AC%B8%EC%84%9C_%ED%8C%80%EB%AA%85.docx.docx
수집된 데이터 및 데이터 전처리 문서 / 인공지능 데이터 전처리 결과서,,D-14,2026년 1월 5일,"%EC%96%91%EC%8B%9D_2.%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%A0%84%EC%B2%98%EB%A6%AC_%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5_%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%A0%84%EC%B2%98%EB%A6%AC_%EA%B2%B0%EA%B3%BC%EC%84%9C_%ED%8C%80%EB%AA%85.docx.docx, %EC%96%91%EC%8B%9D_3.%EB%AA%A8%EB%8D%B8%EB%A7%81_%EB%B0%8F_%ED%8F%89%EA%B0%80_%EC%88%98%EC%A7%91%EB%90%9C_%EB%8D%B0%EC%9D%B4%ED%84%B0_%EB%B0%8F_%EC%A0%84%EC%B2%98%EB%A6%AC_%EB%AC%B8%EC%84%9C_%ED%8C%80%EB%AA%85.docx.docx"
시스템 아키텍처,,D-14,2026년 1월 5일,%EC%96%91%EC%8B%9D_3.%EB%AA%A8%EB%8D%B8%EB%A7%81_%EB%B0%8F_%ED%8F%89%EA%B0%80_%EC%8B%9C%EC%8A%A4%ED%85%9C_%EC%95%84%ED%82%A4%ED%85%8D%EC%B2%98_%ED%8C%80%EB%AA%85.docx.docx
인공지능 학습 결과서,,D-17,2026년 1월 8일,%EC%96%91%EC%8B%9D_2.%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%A0%84%EC%B2%98%EB%A6%AC_%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5_%ED%95%99%EC%8A%B5_%EA%B2%B0%EA%B3%BC%EC%84%9C_%ED%8C%80%EB%AA%85.docx.docx
학습된 인공지능 모델,,D-17,2026년 1월 8일,%EC%96%91%EC%8B%9D_2.%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%A0%84%EC%B2%98%EB%A6%AC_%ED%95%99%EC%8A%B5%EB%90%9C_%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5_%EB%AA%A8%EB%8D%B8_%ED%8C%80%EB%AA%85.docx.docx
최종 발표(수료일),,D-51,2026년 2월 11일,
